Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Cluster
13,12,81,41,109,25.093023255813954,94.1312292358804,25.257090395107063,94.08166338621683,-0.7974425826714346,602.0,625.0,32.38705426206604,23.917777364288018,91.84062043356595,0.8968849518084291,0.6742555798665294,27.685559519911603,0.7413793103448276,1.1609640474436804,0.7384980792248889,0.9632,0.16829125392666713,0.0024510436442919292,6.232166681568825e-05,2.2263090254010356e-06,-1.5665316902524743e-11,-8.372587359074095e-08,2.1030741993893752e-11,0.0013433333417675547,1.051862083082217e-07,1.306480145436393e-10,4.103109508138839e-12,9.481523382087919e-23,8.102966257321508e-16,5.913207998330011e-24,13.0,238.0,125.74916943521595,130.0,-4.250830564784053,49.03888762309115,78.0,37.0,-0.23024749349082424,-0.839139549651625,0.12952395668921976,2.1347284096215136,2
15,76,86,117,117,93.41486810551558,99.13429256594725,92.57489296727643,99.43913854874604,-1.249348252415133,834.0,912.0,43.11154251195355,26.20546893966147,119.1543289325507,0.7381697848880556,0.794049781176565,32.586527589007176,0.6561762391817466,0.9692997276679282,0.607852732998256,0.9144736842105263,0.19074727968431804,0.007712463168011389,0.0008949197373464481,6.674095321383786e-05,1.5292000741010773e-09,1.1634331943832533e-07,1.6239160862255332e-08,0.001526971035318328,4.2712508031122916e-07,5.116118899566012e-10,6.272274430265948e-11,1.0852040642611921e-20,3.082706953338034e-14,2.9118170077511553e-21,33.0,255.0,120.14748201438849,115.0,5.147482014388487,45.71212260584899,55.75,28.0,0.7608530708536368,0.472030139410351,0.148821949634537,2.058613188451286,1
16,1,91,4,112,1.8461538461538463,100.57692307692308,1.737270402232039,101.29365263892117,-0.011602384520555703,52.0,55.0,21.085046956995797,3.1661246212270706,36.621320343559645,0.4872425541147205,0.9886617522107788,8.136857890256438,0.8253968253968254,0.0,0.1501597140231449,0.9454545454545454,0.5463984979517524,0.27279887204595205,0.00402534856079552,0.001120716169244338,1.9090566453278545e-06,0.00024589446472372844,1.4218590771499428e-06,0.00793763983944325,5.8613332006548524e-05,3.1752313296668144e-08,2.8147131810763237e-08,8.414595859721341e-16,2.0710811714812048e-10,4.289782298150222e-18,30.0,136.0,82.71153846153847,89.0,-6.288461538461533,31.264588310875304,57.25,26.0,-0.11195972398738421,-1.2901458738009843,0.1161242603550296,2.2108931117362665,0
17,101,102,126,124,113.20930232558139,113.75452196382429,112.7515412856747,113.69085965641452,1.3994810607943,387.0,410.0,23.706190269903054,21.00399984476858,74.18376618407356,0.883696374315972,0.46365982597010935,22.197831060995757,0.7036363636363636,1.0849625007211565,0.8860132988738757,0.9439024390243902,0.16200766579326303,0.00038070014246307344,1.7852327769552613e-05,1.1258372191333158e-07,8.347162506177133e-14,-8.457702164832304e-10,-1.3604383741933524e-13,0.001090400106916113,1.7190520531558435e-08,3.1778839603518225e-12,2.7439853293699665e-12,-5.716612481981137e-24,8.835664777830604e-17,-5.7426211610465646e-24,64.0,255.0,149.2093023255814,148.0,1.2093023255814046,36.11573581439342,42.0,21.0,0.4168370590609462,0.8313955239565662,0.16512762988335372,1.981732487437146,0
18,432,114,462,143,447.14638157894734,127.24835526315789,446.2954580589308,127.00347834152676,0.7367118323470921,608.0,625.0,35.74159374711177,21.875203757583883,94.66904755831214,0.8525059674173358,0.7908285667930691,27.823185353208192,0.6988505747126437,1.1961587113893795,0.6120377259156662,0.9728,0.1805084357544604,0.0067449374702340465,0.00011197049410211179,3.6845794063902953e-06,-7.464913435486599e-11,-3.0241352096298093e-07,-5.341323732053445e-12,0.001641711770702294,5.014123763453429e-07,9.141818483146018e-11,8.451671887960025e-12,6.418489462416551e-23,5.9841189472082655e-15,-2.259874114287717e-22,18.0,220.0,106.39144736842105,104.0,2.391447368421055,36.85919231930402,54.0,27.0,0.39233681260122205,-0.04841724660333169,0.15634738573407203,1.995345421901079,2
19,6,120,48,149,26.11495673671199,134.1742892459827,25.39283053409115,134.9420035336441,-1.131400132491613,809.0,841.0,45.36200286344475,22.796224804998168,114.56854249492379,0.7745110340339079,0.8645539094228522,32.09440436728413,0.6642036124794746,1.0294468445267837,0.5025400856664697,0.9619500594530321,0.19911767375951667,0.014118878274806946,2.407850739459251e-05,1.93145301326103e-06,2.364260911147802e-12,-1.2598738005885405e-08,-1.2957750163884668e-11,0.0016255498759128505,9.410922264561094e-07,1.0817242433733389e-11,1.3476717884461627e-11,1.6019300142662158e-22,5.597887272480685e-15,-2.855196023014799e-23,16.0,252.0,116.13597033374536,114.0,2.1359703337453624,38.20650161252139,53.0,26.0,0.4110685838247723,0.3636905479092136,0.18006175885930992,1.8711645875754193,1
20,41,128,65,150,52.953929539295395,138.27913279132792,53.377553354329045,138.49318225803614,-1.1011898329190122,369.0,389.0,23.3540306344334,20.32786094546184,71.59797974644667,0.9045544070245889,0.4923064334994446,21.675455981530703,0.6988636363636364,0.9999999999999991,0.8704219525810784,0.9485861182519281,0.16237003345055664,0.0005012988743325947,3.764378644713184e-05,4.0919245233393e-07,-6.554293889500225e-13,5.978963745359636e-09,1.4661376486135824e-12,0.0010739548741950389,2.37040324639687e-08,1.4643660779416367e-12,1.0859426381515425e-12,2.852031336758415e-25,-1.1949192166811282e-16,-1.3393869061274162e-24,58.0,243.0,154.02981029810297,157.0,-2.970189701897027,42.392496654393206,69.0,35.0,-0.1254792633831728,-0.8251861820716968,0.11965981448432371,2.190917122959298,0
21,485,138,515,181,500.4341176470588,158.2435294117647,502.08302938142685,159.52862110401003,0.4678066603528896,850.0,905.0,46.581593296224426,24.036205315838423,119.39696961966999,0.7492766199060732,0.8565872484382028,32.897623212397704,0.6589147286821705,1.1111962106682236,0.5160022149303902,0.9392265193370166,0.20202823529411768,0.013704587252229481,0.00043190419574304915,3.0636137074690726e-05,-6.71925947461779e-11,-1.2610338391879593e-06,3.523430920569808e-09,0.0017350622801291019,9.16886951326829e-07,6.425939466840026e-10,5.066686890723767e-11,-1.2688303999898587e-21,-3.475449975984724e-14,-9.053801043642976e-21,11.0,255.0,110.63411764705883,103.0,7.6341176470588294,59.42084414024342,91.5,45.0,0.4863367971562126,-0.5181732446558822,0.11723460207612457,2.2063606890514897,1
22,273,148,305,179,287.9621409921671,162.22715404699738,287.6172552492712,162.3016347466696,-0.7760969477086299,766.0,788.0,32.19005256774316,30.459090219226212,101.49747468305833,0.93438995264997,0.3235040270691514,31.229817342839755,0.7721774193548387,1.261780978028506,0.9462267933587812,0.9720812182741116,0.1602444240614417,7.829030844558819e-05,7.482141603182445e-05,9.896605181965218e-08,-2.01360974426469e-13,-6.370727309240749e-10,1.7882461693610066e-13,0.0014996369476457778,1.1822548351179259e-08,8.875327874598159e-11,4.103743373074774e-12,-7.658050621375034e-23,-4.2651018098800023e-16,-1.6406120441385486e-23,22.0,247.0,106.13185378590079,102.0,4.131853785900788,37.794443393093715,52.0,27.0,0.5106029856708,-0.14905210929937773,0.17055811955906716,1.9010125802129256,2
23,293,164,325,204,309.35300925925924,184.4525462962963,310.38791918507223,182.63284942288502,-0.5051192881585685,864.0,907.0,43.72519582093645,25.758557764145127,115.98275605729688,0.8071174881657438,0.8080593913696347,33.16743834924821,0.675,1.2323711575759737,0.58910102700584,0.9525909592061742,0.18629890391117176,0.008155164588292924,0.0003846551276480373,3.509303186297615e-05,3.6535722486706406e-09,2.619631193499871e-06,-1.8097952484756648e-09,0.0014712065539315754,6.506642875177564e-07,8.082584087854723e-11,2.7562302204805645e-11,6.605888963570669e-22,1.3880942979560793e-14,-1.1207130333390829e-21,18.0,255.0,122.9375,114.0,8.9375,57.165336729347004,87.25,41.0,0.4490794409135353,-0.6118574789060163,0.11843599965706446,2.2082556535095783,1
