Label,Area,Perimeter,equivalent_diameter_area,axis_major_length,axis_minor_length,eccentricity,solidity,intensity_mean,intensity_max,intensity_min,intensity_median,intensity_std,Cluster
34,447.0,81.01219330881975,23.85661494212072,27.52884878343319,21.610109705173258,0.6194974469320416,0.9571734475374732,85.27069351230425,122.0,71.0,84.0,7.9534785609357375,0
35,550.0,99.1543289325507,26.462837142006137,41.26007497484132,17.210502218825326,0.9088503115680767,0.9515570934256056,84.39818181818181,139.0,70.0,82.0,9.479528007220054,0
36,843.0,119.59797974644665,32.7618823667344,46.11845539277684,24.00985485312564,0.853792942051623,0.9546998867497168,110.41637010676156,141.0,87.0,110.0,8.367653226148912,1
37,888.0,118.32590180780451,33.62494186946387,42.79813207469282,26.996954554729147,0.7759474974432989,0.9396825396825397,75.54166666666667,177.0,45.0,74.0,14.315636663385881,0
38,1986.0,181.7228714274745,50.285720993578614,66.4849582975235,39.190882937174926,0.8077903288572887,0.9622093023255814,92.0669687814703,161.0,56.0,90.0,12.536755491104483,0
39,1212.0,135.5685424949238,39.28315578233268,47.50604997911306,32.74730075484354,0.724448374741455,0.9672785315243416,113.13366336633663,149.0,82.0,112.0,7.130001373285101,1
40,406.0,81.35533905932738,22.736210219877808,31.06037924275355,16.97388436803583,0.8374719797419731,0.9376443418013857,86.44581280788178,142.0,66.0,82.0,14.156784643164542,0
41,801.0,117.29646455628166,31.935323316554435,42.808139229761835,24.900542144304865,0.8134193224847439,0.9468085106382979,93.5505617977528,154.0,77.0,92.0,8.96338802590071,1
42,791.0,112.18376618407356,31.735350634355903,41.6638353161806,25.42775211959903,0.7921645837128242,0.9599514563106796,103.22376738305942,158.0,88.0,102.0,9.021773995971355,1
43,1033.0,130.8111831820431,36.266464532835606,48.8000723572907,28.050689007718052,0.8182880680265333,0.9681349578256795,109.24007744433688,178.0,89.0,107.0,9.514673072292519,1
44,1444.0,154.95331880577402,42.87840834962948,58.90150324474616,32.080907752827805,0.8386611977437081,0.9437908496732026,115.38019390581718,152.0,99.0,114.0,6.760765168882272,1
45,890.0,135.22539674441617,33.66278649806482,56.16498407882999,20.706636544382167,0.9295582819007305,0.9156378600823045,76.05168539325842,168.0,55.0,72.0,14.920674988192385,0
46,161.0,47.45584412271571,14.317526556719258,17.230743318764407,12.198070821736046,0.7062877972678903,0.936046511627907,82.09937888198758,137.0,53.0,79.0,18.128665392989706,0
47,2139.0,182.22539674441617,52.18677405424207,56.810806164135904,50.093689496567556,0.4716919647737431,0.9626462646264626,112.01028517999065,161.0,79.0,110.0,9.618622213189173,1
48,1705.0,161.88225099390854,46.59263271992099,58.72662154978073,37.20328383057177,0.7737431208810708,0.9621896162528216,125.96304985337244,219.0,97.0,123.0,13.514902649702872,1
49,1566.0,159.0538238691624,44.653030435293694,58.8759116955797,34.72140928394017,0.8075940517045044,0.9554606467358145,123.15772669220945,176.0,102.0,122.0,9.337917644913281,1
50,1115.0,128.5685424949238,37.67840352748118,47.36198302632574,30.344022241872928,0.7678054191901189,0.9653679653679653,73.06098654708521,177.0,55.0,69.0,14.838437932691239,0
51,102.0,39.55634918610404,11.396070970426017,16.82812402255073,7.816765544712051,0.8855699422138569,0.918918918918919,89.29411764705883,146.0,75.0,84.0,12.675890528560174,0
52,817.0,142.77564927611036,32.252700786889584,55.24440646112593,22.43882191950622,0.9137959128722132,0.9128491620111732,67.87515299877602,130.0,40.0,66.0,12.491625865989462,0
53,665.0,114.70458146424487,29.098183744847088,37.73620467840722,26.6065019000904,0.7091420315916832,0.8385876418663304,109.08721804511278,187.0,78.0,108.0,10.087507449634982,1
54,1687.0,174.8528137423857,46.346036637108675,67.68918912806363,32.88447214896669,0.8740612600104856,0.9656554092730395,118.87077652637818,161.0,97.0,118.0,7.517686290493278,1
55,1539.0,150.95331880577402,44.266416834293416,51.76850953346301,38.41721100853264,0.6702934592935745,0.9752851711026616,116.88304093567251,157.0,102.0,116.0,5.42219749829117,1
56,1162.0,140.71067811865476,38.46432569254606,53.33573410544141,28.196468076002233,0.8488336860227693,0.9619205298013245,111.51204819277109,140.0,93.0,111.0,6.218921444175883,1
57,1216.0,138.22539674441617,39.34792607492748,48.55597258901662,33.03605818587154,0.7328681949126703,0.9627870150435471,118.92023026315789,152.0,97.0,118.0,6.9946679842675,1
58,530.0,94.32590180780451,25.977239243415305,34.71290864244312,21.162775642741195,0.7926695970029211,0.9430604982206405,80.85094339622641,136.0,63.0,78.0,10.58222294729373,0
59,606.0,104.5685424949238,27.777385840094972,37.98358369938565,21.70440955977431,0.820660888316591,0.9337442218798151,71.74917491749174,125.0,59.0,69.0,9.160998060138029,0
60,1576.0,158.22539674441617,44.79537389622523,55.321877077065544,37.46674534541282,0.7357529050155404,0.9539951573849879,106.00444162436548,177.0,82.0,104.0,12.531254553238648,1
61,1701.0,177.63961030678928,46.5379465124377,61.296889783007735,37.97146771993391,0.7850218313569582,0.8854763144195731,100.80070546737214,194.0,69.0,100.0,13.693620754035194,1
62,3174.0,221.7228714274745,63.570923502725734,70.7342871336232,59.07792071248542,0.5499324953501805,0.9560240963855422,87.74448645242596,189.0,57.0,86.0,11.97295022221355,0
63,328.0,75.01219330881976,20.435815879801165,26.358571756193612,17.115907196221826,0.7604907121685377,0.9318181818181818,90.08231707317073,176.0,62.0,82.0,20.96314837406641,0
64,1914.0,174.2670273047588,49.36578256872974,59.77386969661613,42.081189259895,0.7101935871763992,0.9517652909000497,66.31974921630093,182.0,40.0,62.0,21.073518043685194,0
65,1161.0,148.12489168102786,38.44777121547521,59.94293907688636,26.210020218323777,0.8993402435150016,0.8842345773038842,77.17657192075797,162.0,41.0,76.0,13.69945656001842,0
66,1082.0,147.6812408671319,37.116642997494345,62.25207068727459,22.527949805438304,0.9322236232349042,0.9507908611599297,113.98706099815158,150.0,91.0,113.0,6.264046607585974,1
67,785.0,108.91168824543142,31.614759885488656,34.480353611346565,29.917852423711828,0.49712621886740344,0.9573170731707317,88.85732484076433,169.0,69.0,85.0,14.590373773699627,0
68,63.0,29.31370849898476,8.95623198216277,11.525767306101212,7.271589425466223,0.7758653681433407,0.9130434782608695,125.6984126984127,150.0,93.0,126.0,13.683073683094074,1
