label,area,eccentricity
1,258.0,0.8629063974090129
2,395.0,0.7468744352565938
3,266.0,0.40430880033623795
4,246.0,0.9434928132494013
5,523.0,0.9136367427923908
7,322.0,0.614434546946161
8,343.0,0.6533357399488192
9,574.0,0.5079946193505751
10,485.0,0.6758733406951493
11,356.0,0.7349213256482562
12,449.0,0.7485150626308686
13,188.0,0.5108619730128924
14,518.0,0.47913667778529895
15,83.0,0.622179111513041
16,578.0,0.4899234535651645
17,498.0,0.5997143323277874
18,347.0,0.42430493642578687
19,199.0,0.7153049432308527
20,81.0,0.6378481968026306
21,155.0,0.29823775277141895
22,440.0,0.5217031773369171
23,299.0,0.777634277890572
24,513.0,0.725290120808233
25,333.0,0.7838366118495197
26,431.0,0.7647097222762476
27,231.0,0.45693338951964274
28,436.0,0.6925480247754628
29,274.0,0.5881778381790688
30,556.0,0.45356346789126417
31,359.0,0.5755653605649563
32,284.0,0.7845210195355283
33,261.0,0.636625310945779
34,115.0,0.695831887870455
35,459.0,0.4216137028760051
36,488.0,0.6958655728932931
37,305.0,0.6657105023154152
38,471.0,0.7700322459579226
39,370.0,0.4250965820851898
40,516.0,0.8831001265429905
41,421.0,0.6280890444489452
42,240.0,0.563438812846638
43,446.0,0.5968598082690347
44,434.0,0.6261573185124926
45,278.0,0.6690272732078283
46,222.0,0.7023346486467902
47,267.0,0.6902330913017393
48,460.0,0.5941286804736935
49,348.0,0.8348211568856324
50,215.0,0.5455584015979678
51,665.0,0.47810435613430147
52,274.0,0.692218897269288
53,510.0,0.44373463881534436
54,364.0,0.714001661246425
55,185.0,0.6615149009268332
56,559.0,0.798106612039783
57,488.0,0.34874280636678345
58,619.0,0.6269116917944787
59,471.0,0.5140907388893714
60,105.0,0.8300133449781886
61,326.0,0.5355885310200723
62,293.0,0.7117401758512064
63,330.0,0.8451046504537155
64,215.0,0.7239557057295436
65,622.0,0.6469573282855654
66,742.0,0.7236539277214116
67,429.0,0.6694897111185911
68,433.0,0.5895377409134384
69,349.0,0.8642844941166026
70,447.0,0.654545373144355
71,284.0,0.8085713160144706
72,355.0,0.5828119558101278
73,371.0,0.6469359527965064
74,374.0,0.8384964055440955
75,387.0,0.7585714129833413
76,109.0,0.6698173569437373
77,357.0,0.7487564911008667
78,199.0,0.7985002100055631
79,405.0,0.8595054661792587
80,275.0,0.46894668682990026
81,244.0,0.7486538892014787
82,134.0,0.5536042272548967
83,412.0,0.7355345114018678
84,174.0,0.5566348983341378
85,601.0,0.794677695072373
86,474.0,0.5534198313489207
87,387.0,0.5117322554946452
88,501.0,0.5757727776001877
89,308.0,0.8964458181941798
90,250.0,0.5819122650821111
91,304.0,0.6988648124837846
92,282.0,0.6737586420103056
93,606.0,0.6879047387960823
94,533.0,0.7651068922572674
95,470.0,0.6337549504911699
96,317.0,0.9520708853555061
97,437.0,0.715527351732394
98,159.0,0.8099168400188511
99,304.0,0.8489388641384183
100,418.0,0.6442638796982929
101,678.0,0.5372021779529433
102,488.0,0.6395586051740167
103,311.0,0.3218646338036702
104,236.0,0.7926678645136648
105,161.0,0.7903095614411808
106,321.0,0.4047379671859143
107,552.0,0.5345935866233118
108,330.0,0.5798160372097259
109,519.0,0.5555023333284822
110,444.0,0.6700194939198103
111,187.0,0.7114703291020659
112,304.0,0.6285175240301442
113,107.0,0.94577301788068
114,55.0,0.8326039579256177
